"Kode Barang";"Nama Barang";"1(Rabu)";"2(Kamis)";"3(Jumat)";"4(Sabtu)";"5(Minggu)";"6(Senin)";"7(Selasa)";"8(Rabu)";"9(Kamis)";"10(Jumat)";"11(Sabtu)";"12(Minggu)";"13(Senin)";"14(Selasa)";"15(Rabu)";"16(Kamis)";"17(Jumat)";"18(Sabtu)";"19(Minggu)";"20(Senin)";"21(Selasa)";"22(Rabu)";"23(Kamis)";"24(Jumat)";"25(Sabtu)";"26(Minggu)";"27(Senin)";"28(Selasa)";"29(Rabu)";"30(Kamis)";"31(Jumat)"
"B000000556";"Acyclovir 200 mg Tablet";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1620.4";"1611.4";"1588.4";"1588.4";"1588.4";"1588.4";"1588.4";"1588.4";"1588.4";"1588.4"
"B000000557";"Acyclovir 400 mg Tablet";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3";"1068.3"
"B000000558";"Acyclovir cream";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0";"1110.0"
"B000000559";"Adona Injeksi";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0";"20.0"
"B000002026";"ADONA TAB (BELI NIRWANA)";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0"
"B000000560";"Afamed tab";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0";"1071.0"
"B000001597";"Akilen ";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001423";"Alat Cukur";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001878";"Albapure 20% 100 mL";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001659";"Albendazole tab";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000002033";"ALBOTHYL 10 BELI";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0";"88.0"
"B000000561";"Albothyl 5 ml*";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001880";"ALBUMIN 20 % 100 cc LEMBAYUNG";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001295";"ALBUMINAR 20% x 50ML";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0"
"B000000562";"Albuminar 25% infus";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0";"110.0"
"B000000396";"Alco Oral Drop 15 ml";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001492";"Alco Plus Sirup 100 mL";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000563";"Alganax 0,5 mg Tablet";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000564";"Alinamin F Inj*";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001547";"Alkohol 1L";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"A000000002";"Alkohol 70% 1 Liter";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"A000000001";"Alkohol 70% 5 liter OM";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"A000000004";"Alkohol 95% 20 liter OM";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"A000000003";"Alkohol 95% 5 liter OM";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001587";"ALKOHOL PER ML";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001809";"Alkohol Swab";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001719";"Alloclair Kumur (Beli)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000565";"Allopurinol 100 mg";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001704";"Alloris Sirup";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000271";"Aloclair Plus Oral Rinse";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000156";"Alovell 10 mg tab";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000157";"Alovell 70 mg Tablet";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000458";"Alpentin 300 mg Kap";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000008009";"ALUPURINOL UJICOBA";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000280";"Amadiab-1";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001691";"AMARYL 2 MG (BELI)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001417";"Amaryl 3 mg Tablet";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001729";"AMARYL 4 MG";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001825";"AMARYL BELI K24";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001752";"Amaryl-M 2/500 (beli K24)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000566";"Ambroxol 30 mg";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0"
"B000000567";"Aminefron Tablet";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0";"60.0"
"B000001680";"Aminofilin Tablet (Beli)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000568";"Aminofillin Injeksi";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000569";"Aminofluid Infus";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000457";"Aminofusin L 600 infus Dewasa";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000570";"Aminofusin Paed 250ml";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001717";"AMINOLEBAN (BELI DI LEMBAYUNG)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001534";"Aminoleban Infus";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000158";"Aminophylline 200 mg tab";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001982";"Aminosteril Infant";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000008010";"Amiodaron 75 mg";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"A000000125";"Amiosin 500 mg inj";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000286";"Amitriptylin 25 mg tab";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000571";"Amlodipine 10 mg";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000572";"Amlodipine 5 mg";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000002036";"amoxan";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000573";"Amoxan forte dry";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000574";"Amoxan inj";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000002";"Amoxili";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000575";"Amoxsan 500 mg ";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"B00001000";"Amoxsan 500 mg ";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"42.0";"32.0";"32.0";"32.0";"32.0";"32.0";"32.0";"32.0";"32.0"
"B000001313";"Amoxsan Drops";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
